update,alpha,constraint_C
0,1.0062,0.112
1,1.007,0.058
2,1.007,0.05
3,1.002,0.0
4,1.0256,0.286
5,1.0564,0.358
6,1.0592,0.078
7,1.0604,0.062
8,1.06,0.046
9,1.0576,0.026
10,1.0552000000000001,0.026
11,1.0552000000000001,0.05
12,1.0552000000000001,0.05
13,1.0516,0.014
14,1.0566,0.1
15,1.0532,0.016
16,1.051,0.028
17,1.0477999999999998,0.018
18,1.0457999999999998,0.03
19,1.0439999999999998,0.032
20,1.0425999999999997,0.036
21,1.0395999999999999,0.02
22,1.0379999999999998,0.034
23,1.0347999999999997,0.018
24,1.0317999999999998,0.02
25,1.0301999999999998,0.034
26,1.0277999999999998,0.026
27,1.025,0.022
28,1.0222,0.022
29,1.0184,0.012
30,1.0191999999999999,0.058
31,1.0159999999999998,0.018
32,1.0127999999999997,0.018
33,1.0095999999999996,0.018
34,1.0075999999999996,0.03
35,1.0067999999999997,0.042
36,1.0043999999999997,0.026
37,1.0031999999999996,0.038
38,1.0005999999999997,0.024
39,0.9991999999999998,0.036
40,0.9971999999999998,0.03
41,0.9941999999999998,0.02
42,0.9913999999999997,0.022
43,0.9881999999999997,0.018
44,0.9873999999999997,0.042
45,0.9839999999999998,0.016
46,0.9799999999999998,0.01
47,0.9783999999999997,0.034
48,0.9787999999999997,0.054
49,0.9759999999999996,0.022
50,0.9723999999999996,0.014
51,0.9687999999999996,0.014
52,0.9655999999999996,0.018
53,0.9637999999999995,0.032
54,0.9627999999999995,0.04
55,0.9609999999999995,0.032
56,0.9595999999999996,0.036
57,0.9563999999999996,0.018
58,0.9549999999999996,0.036
59,0.9525999999999997,0.026
60,0.9499999999999996,0.024
61,0.9461999999999996,0.012
62,0.9433999999999996,0.022
63,0.9413999999999996,0.03
64,0.9405999999999995,0.042
65,0.9379999999999995,0.024
66,0.9363999999999995,0.034
67,0.9333999999999995,0.02
68,0.9295999999999994,0.012
69,0.9255999999999994,0.01
70,0.9227999999999994,0.022
71,0.9187999999999994,0.01
72,0.9167999999999994,0.03
73,0.9123999999999994,0.006
74,0.9091999999999995,0.018
75,0.9077999999999995,0.036
76,0.9047999999999995,0.02
77,0.9017999999999995,0.02
78,0.8989999999999995,0.022
79,0.8955999999999995,0.016
80,0.8941999999999996,0.036
81,0.8911999999999995,0.02
82,0.8893999999999995,0.032
83,0.8887999999999995,0.044
84,0.8873999999999995,0.036
85,0.8835999999999995,0.012
86,0.8807999999999995,0.022
87,0.8799999999999994,0.042
88,0.8781999999999994,0.032
89,0.8753999999999994,0.022
90,0.8727999999999994,0.024
91,0.8705999999999994,0.028
92,0.8695999999999994,0.04
93,0.8663999999999994,0.018
94,0.8639999999999994,0.026
95,0.8615999999999995,0.026
96,0.8611999999999995,0.046
97,0.8581999999999995,0.02
98,0.8557999999999996,0.026
99,0.8531999999999995,0.024
